Customer ID,Customer Name,Customers Segment ID,Sales Region ID
5026940,MSL LIMITED,11,1
5040510,HELMORA TECHNOLOGIES,11,1
5041794,PORTLINE SHIPPING CORPORATION,11,1
5042625,SUNDARBAN LIMITED,11,1
5052161,WESTTIDE SHIP MANAGEMENT PRIVATE LIMITED,12,2
5053347,TATTVA SHIPPING COMPANY LIMITED,12,2
5055019,TATTVA SHIPPING LLC,13,2
5086242,SKYBRIDGE MARITIME INDIA PRIVATE LIMITED,12,2
5122255,GRAND HARBOR SHIPPING COMPANY LIMITED,12,2
5138829,BAY OF BENGAL SHIPPING LIMITED,12,2
5147705,TRADE GLOBAL OFFSHORE SERVICES PRIVATE LIMITED,14,2
5172968,VENTURES MARITIME PRIVATE LIMITED,13,2
5189310,TRANSFORMERS MANAGEMENT PRIVATE LIMITED,12,2
5227157,SUGAR SHIPPING LIMITED,13,2
5265045,SINDHU SHIP MANAGEMENT,12,2
5319415,EASTERN PETRO TECHNOLOGIES INDIA PRIVATE LIMITED,11,2
5385544,ADITYA SHIP MANAGEMENT PRIVATE LIMITED,12,2
5385734,OFFSHORE ANOTECH PRIVATE LIMITED,14,2
5397612,BURNACLES SHIP SERVICES,15,2
5426815,BAINBRIDGE NAVIGATION PRIVATE LIMITED,13,2
5451734,RELIABLE OFFSHORE SERVICES LIMITED,14,2
5499455,PANINDIA OFFSHORE SERVICES PRIVATE LIMITED,14,2
5511699,MARINE TECHNOLOGY PRIVATE LIMITED,13,2
5552441,GROUND OFFSHORE SERVICES COMPANY,14,2
5745042,MALVIA SHIP MANAGEMENT PRIVATE. LIMITED.,12,2
5749961,MALVIA (INDIA) PRIVATE LIMITED,13,2
5765843,UNITED COUNTRY CARRIERS INDIA PRIVATE LIMITED,15,2
5766763,EASTOCEAN OFFSHORE SERVICES INDIA PRIVATE LIMITED,14,2
5776517,NOVATEL PRIVATE LIMITED,12,2
5776828,CAPE HOPE MARINE SHIPPING PRIVATE LIMITED,12,2
5794100,LPG UNITED INDIA PRIVATE LIMITED,13,2
5798892,GANGA SHIP MANAGEMENT PRIVATE LIMITED,12,2
5800581,HARBORLOCK MARITIME PRIVATE LIMITED,12,2
5809176,COASTAL FLEET SHIPPING PRIVATE LIMITED,13,2
5815542,MARISAIL SHIP MANAGEMENT PRIVATE LIMITED,12,2
5869490,BLUE HORIZON MARITIME PRIVATE LIMITED,12,2
5872600,NARAD SHIP MANAGEMENT PRIVATE LIMITED,12,2
5882690,BLUEPORT SHIPMANAGEMENT INDIA PRIVATE LIMITED,13,2
5902090,OCEANCORE CARRIERS INDIA PRIVATE LIMITED,15,2
5903431,AQUALINE TANKER CARRIERS PRIVATE LIMITED,15,2
5920605,RGB SHIP MANAGEMENT INDIA PRIVATE LIMITED,12,2
5927813,ASIAN SHIP MANAGEMENT PRIVATE LIMITED,12,2
5949850,INDOPACIFIC SHIP MANAGEMENT ,13,2
5959655,PRIME OCEAN SHIP MANAGEMENT PRIVATE LIMITED.,12,2
5973370,UNIVERSAL SHIP MANAGEMENT FZCO,12,2
5981691,KARACHI PORT SHIPPING LIMITED,11,3
5986859,SINDH NATIONAL SHIPPING CORPORATION,12,3
5995321,INDUS SHIPPING CORPORATION,13,3
5996715,TAPROBANE SHIPPING COMPANY,11,4
